N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_QUARK,Gflop_QUARK
1000,0.0826,40.3825,0.0782,42.6525,0.063,52.94594444
2000,0.2849,93.6471,0.3022,88.2665,0.24,111.1669116
3000,0.5289,170.2232,0.5641,159.5988,0.573,157.1222521
4000,0.9607,222.0965,1.0337,206.4145,1.033,206.551895
5000,1.4824,281.114,1.5895,262.1735,1.609,258.9952726
6000,2.1225,339.2601,2.2979,313.375,2.423,297.1851268
7000,2.9741,384.4744,3.2991,346.6007,3.445,331.920265
8000,3.9931,427.4415,4.3107,395.9511,4.68,364.7044132
9000,5.2332,464.3834,5.597,434.197,6.188,392.7296718
10000,6.8368,487.5909,7.2507,459.7631,7.993,417.0601107
11000,8.8072,503.789,9.2965,477.2719,10.073,440.4815329
12000,11.0683,520.4377,11.4886,501.3974,12.726,452.6450255
13000,13.9297,525.7649,14.2285,514.7228,15.826,462.7667969
14000,17.3954,525.8381,17.5288,521.8367,19.394,471.6491742
15000,20.7646,541.8136,21.0855,533.5677,23.515,478.441109
16000,24.9011,548.3281,25.2001,541.8228,28.145,485.1296092
17000,30.0499,545.006,29.9562,546.7114,33.422,490.0178266
18000,35.4154,548.9363,35.2773,551.0848,39.408,493.3211185
19000,41.4465,551.6569,41.1731,555.3198,46.114,495.8200916
20000,48.7252,547.3073,47.9417,556.2516,53.554,497.9582786