N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_V3,Gflop_V3,Sec_QUARK,Gflop_QUARK
1000,0.3014,7.820125,0.2821,8.354375,0.3204,7.355625,0.198,11.90396806
2000,0.8906,24.91875,0.6688,33.180625,0.8172,27.156875,0.584,38.00109375
3000,1.8356,43.2965,1.321,60.164,1.617,49.149875,1.358,58.52360486
4000,3.2966,58.913,2.3413,82.948375,2.8844,67.332375,2.476,78.43804354
5000,5.2204,74.016,3.6666,105.384,4.5408,85.093875,3.9,99.07516062
6000,7.5821,89.161,5.2289,129.2865,6.5655,102.966625,5.585,121.043441
7000,10.4311,103.835,7.1847,150.75275,9.0032,120.302875,7.556,143.3447947
8000,13.7205,118.628875,9.4438,172.350625,11.8588,137.252625,9.926,163.9781865
9000,17.5606,132.662625,12.2116,190.772125,15.2176,153.087875,13.022,178.899961
10000,21.9525,146.1825,15.4056,208.30525,19.0808,168.183625,16.26,197.3598605
11000,26.634,160.920375,18.798,228.00075,23.3189,183.797375,19.683,217.7489848
12000,32.2247,173.167875,22.9035,243.643625,28.2686,197.402625,23.989,232.618401
13000,38.5705,184.39175,27.5738,257.9285,34.0154,209.084,29.074,244.6200039
14000,45.8323,194.214625,33.0606,269.242375,40.6399,219.0285,34.154,260.6225613
15000,53.9351,203.355375,39.4505,278.019,48.4558,226.35025,40.46,271.082365
16000,63.0239,211.540625,46.943,284.0065,57.46,232.024625,48.165,276.8008968
17000,73.2576,218.594625,55.4408,288.843625,66.9958,239.0255,56.629,282.782984
18000,87.2662,218.1,65.0525,292.575375,79.3462,239.8695,65.916,288.7426151
19000,103.8104,215.867,76.3118,293.65375,93.2214,240.387125,76.53,292.8164069
20000,120.9801,216.260125,88.1828,296.692375,108.1759,241.857625,88.193,296.6581424