N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_v3,Gflop_V3
1000,0.2513,9.3775,0.2508,9.39675,0.2793,8.438625
2000,0.6249,35.5115,0.5985,37.081,0.6531,33.977875
3000,1.2646,62.849375,1.2442,63.87975,1.2885,61.681625
4000,2.2656,85.7235,2.2361,86.853,2.3268,83.46775
5000,3.575,108.083875,3.4811,110.997,3.6401,106.149125
6000,5.1878,130.3105,5.0829,133.001375,5.2833,127.95525
7000,7.1328,151.850625,7.0099,154.513,7.2857,148.66225
8000,9.5373,170.662,9.2699,175.583625,9.5853,169.806375
9000,12.206,190.8605,11.9731,194.5725,12.2421,190.297125
10000,15.4104,208.24075,15.0481,213.254125,15.5649,206.173
11000,18.8811,226.996625,18.5018,231.650625,19.0308,225.211
12000,22.9238,243.428,22.5581,247.3745,23.0995,241.57625
13000,27.8604,255.275,27.2663,260.837625,27.8834,255.06525
14000,33.3938,266.55575,32.5812,273.20375,33.4025,266.486625
15000,40.0408,273.920625,39.2303,279.579875,39.9371,274.632
16000,47.349,281.5715,46.4022,287.31675,47.409,281.215125
17000,56.43,283.78,54.7787,292.334625,56.1571,285.159125
18000,66.1553,287.697875,64.6817,294.25225,66.0103,288.32975
19000,77.2413,290.11975,75.8045,295.61875,77.2367,290.137125
20000,88.8276,294.538875,87.336,299.569,88.9941,293.9875